t;true1;true2;true3;true4;prev1;prev2;prev3;prev4;m1;m2;m3;m4
143;0,04727936798639431;0,15199290091373555;0,19017439888653243;0,18343483199397018;0,061510235140792076;0,14846706616264793;0,16740062109763096;0,16531532681442393;0,09528496764548358;0,1448715919082247;0,17747129309905868;0,1643521767792488
144;-0,0027956427480764845;0,199768559858121;0,22380864387721494;0,2187010544041643;0,08899602060721067;0,14192607141872726;0,22109180546781312;0,197777691113229;0,07323377356684516;0,1434072897121144;0,22779271974594323;0,21058749832943405
145;0,03002238199429229;0,18531492826267823;0,2311642073018105;0,22730788409336866;0,09295760691883256;0,16908653023676065;0,22914173633435853;0,1972604549361324;0,0340481790412508;0,17303838808862104;0,23467747510205375;0,21679918573087215
146;0,03692134810262395;0,19123231407392738;0,24200776969540702;0,2246669882402533;0,037455081568155205;0,16164784845857977;0,24933727797678198;0,23938285141605764;-0,008852721513125668;0,1802112320852473;0,23905776770491433;0,2536106210551837
147;0,032293347546178526;0,17592728982802547;0,20030938403358048;0,19611897172644108;0,04621526905667937;0,228547544597713;0,23637305630788924;0,2021862181572429;0,017870408035208143;0,23877420570428426;0,23498040809394047;0,21308059931284154
148;-0,008812608209391785;0,16866436127283008;0,19430740416361633;0,20200950394936099;0,051339464973015156;0,15575474992821337;0,198432959999208;0,19013840778338975;0,028285554524369667;0,1828516128307163;0,20550851795913813;0,2185528210985325
149;0,042012115395700815;0,13179896740982366;0,14958105268397312;0,16334667183713478;-0,023667348118110918;0,17521568486679345;0,22571607319753587;0,23517416616867734;-0,03064672428121433;0,18926533594406922;0,21071058155838476;0,23635720418434839
150;0,12366883920310598;0,16070980224619516;0,18360823324440156;0,3085757457174263;0,02777726679812199;0,18960468577028664;0,20924510719928474;0,2240561960185599;0,027651758760165464;0,17600942451834994;0,1961710723295972;0,1976973583914387
151;0,05160119249852051;0,20512428634369567;0,20234394138438758;0,23850017435691417;0,05626036253825389;0,17385766206957406;0,20192041469415126;0,24195463608411077;0,08826585027579359;0,15267540858068646;0,19500025703151463;0,22172924044782966
152;-0,061677288856538934;0,3005126757702909;0,25711577862029467;0,3203634619145202;0,06458592995102443;0,23830597050227148;0,2344931789885884;0,2273294467234907;0,09231356641712948;0,21737824593836905;0,20843003292723514;0,20590523406765912
153;-0,02367641600114466;0,35925749300866144;0,31108300261639343;0,33981589093728803;0,018159310857668802;0,22853758427552834;0,20258331742337812;0,22874221047104293;0,06678481930696503;0,2236434218415153;0,22138311933694851;0,22459682563889707
154;0,14298815448161084;0,3891593087097648;0,3822438412317955;0,39178286427855435;0,03495372659302559;0,25205182349540295;0,22064040945929084;0,2445030746459791;0,07265021627493719;0,242230291980469;0,24538516412620215;0,23148123624956823
155;0,26722060915269286;0,3180310821217399;0,3269611758759391;0,30264775813306133;0,06792710366738586;0,24966099514321172;0,2561451658942748;0,2392416578645249;0,10156399890390105;0,24602925084148114;0,26599284078521196;0,23834161684582095
156;0,1211818259411414;0,11253664738057616;0,12089955933846268;0,10489238797409255;0,16541738522230862;0,24614021641629896;0,2685529722972073;0,22476029052404162;0,14944364713628341;0,2475305844450444;0,2750992870458816;0,23752059738714568
